tour_id,tour_time,tour_city,tour_date,tour_flyer,tour_title,tour_date_info,tour_description,tour_tickets_link,tour_website_link,tour_facebook_link,tour_heading_only_flag
51,NULL,"Woodcliff Lake, New Jersey",2017-08-25,NULL,Private House Concert,Joe Solo,"Woodcliff Lake, New Jersey",NULL,<blank>,NULL,0
52,NULL,"Orangeburg, New York",2017-09-11,NULL,Orangetown Town Hall,Joe Solo,"9/11 Remembrance Ceremony<br />\r\nOrangeburg, New York<br />\r\n6pm",NULL,<blank>,NULL,0
53,NULL,"Orangeburg, NY",2017-09-17,NULL,Children's Memorial Service,Joe Solo,"Orangeburg, NY<br />\r\n1pm<br />\r\n** This is the yearly service for parents who have lost children.",NULL,<blank>,NULL,0
54,NULL,"Howell, New Jersey",2017-09-30,NULL,Private House Concert,Joe Solo,"Howell, New Jersey",NULL,<blank>,NULL,0
55,NULL,"Philadelphia, PA",2017-10-07,NULL,RoxtoberFest,JD&SC,"6053 Ridge Avenue (Corner of Lyceum Street)<br />\r\nPhiladelphia, PA (Roxborough)<br />\r\nFree Music Fest!<br />\r\n12:00-12:45 - Kicking Down Doors<br />\r\n1-1:45 - Scott Bricklin/Steve Butler<br />\r\n2-2:45 - Polkadelphia<br />\r\n3-3:45 - TFP Feat Dan Reed<br />\r\n4-4:45 - Joe D'Urso & Stone Caravan<br />\r\n5-6pm - Ben Arnold",NULL,http://roxboroughpa.com/events/roxtoberfest,NULL,0
56,NULL,"Sloatsburg, New York",2017-10-08,NULL,Music at Harmony Hall,JD's Acoustic Excursion,"15 Liberty Rock Road (Jacob Sloat House)<br />\r\nSloatsburg, New York<br />\r\nTickets: $20<br />\r\nThere will be food and beverage.<br />\r\nFamily friendly!<br />\r\n<br />\r\n*This is the kick-off event to a new monthly music series at The Sloat\r\nHouse/Harmony Hall. JD will be joined by Greg Lykins on acoustic guitar, Seth Saltzman on piano and Ken Harten on fiddle. Opening the show will be Ayanna Martine and Anneliese McCarthy.",NULL,http://friendsofharmonyhall.org/live-music-at-harmony-hall/,NULL,0
57,NULL,"Philadelphia, PA",2017-10-14,NULL,House Concert,Joe Solo,"Philadelphia, PA",NULL,<blank>,NULL,0
58,NULL,"Beacon, NY",2017-10-19,NULL,Towne Crier Cafe,Joe Solo,"379 Main Street<br />\r\nBeacon, NY 12508<br />\r\nPhone: (845) 855-1300<br />\r\nShowtime: 7:30pm<br />\r\n*Supporting the wonderful Iris Dement. great venue, great food, great music!",NULL,http://www.townecrier.com/,NULL,0
59,NULL,"Beacon, NY",2017-11-10,NULL,Tribute To Tom Petty,Joe Solo,"The Towne Crier Cafe<br />\r\nBeacon, NY<br />\r\nShowtime: 8:30pm<br />\r\nTickets: $20 Adv / $25 door<br />\r\nThe Towne Crier Cafe will honor Tom Petty's musical legacy with a tribute featuring a group of artists performing in an intimate song circle. Join us for an evening with hit recording artist Marshall Crenshaw (""Someday Someway""), indie artist Kati Mac (Meat Loaf, Sting, Nona Hendryx), Joe D'Urso (Stone Caravan, Light of Day, WhyHunger), Sandy Farina (Strawberry Fields in the movie\r\nversion of ""Sgt. Pepper's Lonely Hearts Club Band,"" Peter Frampton) and indie artist Lou Loria (Mark Wood).",NULL,http://www.townecrier.com,NULL,0
60,NULL,"Leciester, England",2017-11-26,NULL,Light of Day England,Joe Solo,The Donkey<br />\r\nLeciester England<br />\r\n*Headline set guest: Miss Emily<br />\r\n*Opening set guest: Tom Brooksby,NULL,<blank>,NULL,0
61,NULL,"Park Ridge, NJ",2017-11-19,NULL,WhyHunger Annual Hungerthon Concert,Joe Solo,"Park Ridge, NJ<br />\r\n* Tom Petty Tribute with Jeffrey Gaines, Richard Barone, Joe D\x92Urso, Don DiLego, Isabella Rose, Chris Brown, Peter Calo, Bobby Mahoney, Seth Saltzman and Annalyse & Ryan<br />\r\nShowtime: 4:30pm<br />\r\nTickets: $25 Adv / $30 Doors",NULL,http://www.cafeacoustic.org/,NULL,0
62,NULL,"Asbury Park, New Jersey",2017-11-22,NULL,WhyHunger Hungerthon Benefit Concert,JD&SC,"Wonder Bar<br />\r\n5th & Ocean Avenue<br />\r\nAsbury Park, New Jersey<br />\r\n* Bruce Springsteen Tribute with JoBonanno & The Godsons of Soul, Joe\r\nD'Urso & Stone Caravan, Joe Rapolla & Perfect Square, Bobby Mahoney & Seventh Son, Jon Caspi & First Gun, Dan Amato &\r\nThe Sentimental Gentlemen, Stella Mrowicki and DJ Lee Mrowicki<br />\r\nShowtime: 7:30pm<br />\r\nTickets: $20",NULL,http://wonderbarasburypark.com/,NULL,0
63,NULL,<blank>,2017-11-24,NULL,"Light of Day Europe '17 - 16 Shows<br />\r\nHeadline Set: Jeffrey Gaines, Joe D'Urso, James Maddock, Ben Arnold and guests (see below)<br />\r\nHeadline Set Scandinavian Guest: Eric Bazilian<br />\r\nOpening Set: Vini ""Mad Dog"" Lopez and Rob Dye and guest (see below)",<blank>,<blank>,NULL,<blank>,NULL,1
64,NULL,"Dublin, Ireland",2017-11-24,NULL,Light of Day Dublin,Joe Solo,"The Sound House<br />\r\nDublin, Ireland<br />\r\n*Opening set guest: Miss Emily",https://www.brownpapertickets.com/event/3114922,<blank>,NULL,0
65,NULL,"Lochwinnoch, Scotland",2017-11-25,NULL,Light of Day Scotland,Joe Solo,"Lochbarr Leisure Centre<br />\r\nLochwinnoch, Scotland<br />\r\n*Headline set guest: Miss Emily",NULL,<blank>,NULL,0
66,NULL,"Putney, London, England",2017-11-28,NULL,Light of Day London,Joe Solo,"Half Moon<br />\r\nPutney, London, England<br />\r\n*Headline set guest: Miss Emily<br />\r\n*Opening set guest: Micky Kemp",NULL,<blank>,NULL,0
67,NULL,"Freiburg, Germany",2017-11-29,NULL,Light of Day Freiburg (1st Time!),Joe Solo,"Schloss Café<br />\r\nFreiburg, Germany",NULL,<blank>,NULL,0
68,NULL,"Rome, Italy",2017-11-30,NULL,Light of Day Roma,Joe Solo,"Caffč Letterario<br />\r\nRome, Italy",NULL,http://www.caffeletterarioroma.it/,NULL,0
69,NULL,"Lugo, Italy",2017-12-01,NULL,Light of Day Lugo,Joe Solo,"Teatro Rossini<br />\r\nLugo, Italy",NULL,<blank>,NULL,0
70,NULL,"Trieste, Italy",2017-12-02,NULL,Light of Day Trieste,Joe Solo,"Teatro Comunale Verdi<br />\r\nTrieste, Italy",NULL,<blank>,NULL,0
71,NULL,"Figino Serenza, Italy",2017-12-03,NULL,Light of Day Como,Joe Solo,"Teatro dell'Oratorio<br />\r\nFigino Serenza, Italy",NULL,<blank>,NULL,0
72,NULL,"Edegum (Antwerp), Belgium",2017-12-05,NULL,Light of Day Belgium,Joe Solo,"Club 27<br />\r\nEdegum (Antwerp), Belgium<br />\r\n*Opening set guests: Jesse Ashfield and Erwin Nyhoff",NULL,<blank>,NULL,0
73,NULL,"Melle-Beur, Germany",2017-12-06,NULL,Light of Day Germany,Joe Solo,"Kulturwerkstat<br />\r\nMelle-Beur, Germany<br />\r\n*Opening set guest: Martin Praetorius",NULL,<blank>,NULL,0
74,NULL,"Sarpsborg, Norway",2017-12-07,NULL,Light of Day Norway,Joe Solo,"Glenghuset<br />\r\nSarpsborg, Norway<br />\r\n*Opening set guest: Per Larsen, Bente Akslen Hagen/Jenny Augusta<br />\r\n*Headline set guest: Eric Bazilian, Trond Svendsen",NULL,<blank>,NULL,0
75,NULL,"Jönköping, Sweden",2017-12-08,NULL,Light of Day Jönköping,Joe Solo,"Jönköping University Theater<br />\r\nJönköping, Sweden<br />\r\n*Opening set guest: Per Larsen, Bente Akslen Hagen/Jenny Augusta<br />\r\n*Headline set guest: Eric Bazilian, Hans Ludviggson",NULL,<blank>,NULL,0
76,NULL,"Vanlřse (Copenhagen), Denmark",2017-12-09,NULL,Light of Day Denmark,Joe Solo,"Kulturstationen Vanlřse<br />\r\nVanlřse (Copenhagen), Denmark<br />\r\n*Opening set guest: Nilla Nielsen<br />\r\n*Special guests: Freddy & The Phantoms<br />\r\n*Headline set guest: Eric Bazilian",NULL,<blank>,NULL,0
77,NULL,"Malmo, Sweden",2017-12-10,NULL,Light of Day Malmo,Joe Solo,"Folk A Rock<br />\r\nMalmo, Sweden<br />\r\n*Opening set guest: Nilla Nielsen<br />\r\n*Headline set guest: Eric Bazilian",https://www.tickster.com/sv/events/g4egr1tvpv4gal6/2017-12-10/light-of-day,<blank>,NULL,0
78,NULL,"Dörphof, Germany",2017-12-11,NULL,Light of Day Dörphof,Joe Solo,"The Upstage<br />\r\nDörphof, Germany<br />\r\n*Opening set guest: Hans Ludviggson",NULL,<blank>,NULL,0
79,19:00:00,"Montvale, NJ",2017-12-15,NULL,Montvale Library - Stories Behind The Songs Show,Joe Solo,"Municipal Council Chambers<br />\r\n2nd Floor<br />\r\n12 Mercedes Drive<br />\r\nMontvale, New Jersey<br />\r\nShowtime: 7pm (one hour performance)<br />\r\nTicket Price: Free show though Library Series<br />\r\n**Snow date: Friday, December 22nd, 7pm",NULL,http://montvale.bccls.org/,NULL,0
80,NULL,"Montclair, NJ",2018-01-05,NULL,Light of Day North Jersey,Joe Solo,"Outpost in the 'Burbs<br />\r\nMontclair, NJ<br />\r\nwith Willie Nile, James Maddock, Jeffrey Gaines, Emily Grove, Joe D'Urso, Isabella Rose, Jon Caspi and Adam Falcon<br />\r\nMORE INFO and tickets at www.lightofday.org",http://www.lightofday.org/,<blank>,NULL,0
81,NULL,"Philadelphia, PA",2018-01-06,NULL,Light of Day Philadelphia,JD&SC,"World Cafe Live<br />\r\nPhiladelphia, PA<br />\r\nwith Wiliie Nile & Band, Joe Grushecky & The Houserockers, Remember Jones, Ben Arnold & Band, Joe D'Urso & Stone Caravan - Upstairs: Acoustic Jim Boggia, Graham Alexander, John Byrne, Nalani & Sarina, Vini Lopez, Isabella Rose and, Lisa Bouchelle<br />\r\nMORE INFO and tickets at www.lightofday.org",http://www.lightofday.org/,<blank>,NULL,0
83,NULL,"New York, NY",2018-01-10,NULL,Light of Day NYC,JD&SC,"The Cutting Room<br />\r\nNew York, NY<br />\r\nwith Gary US Bonds, Dramarama, Johnny Pi's Punk Rock Pizzeria, Joe D'Urso & Stone Caravan, King Sings The Boss<br />\r\nMORE INFO and tickets at www.lightofday.org",http://www.lightofday.org/,<blank>,NULL,0
84,NULL,"Asbury Park, NJ",2018-01-11,NULL,Light of Day NJ Winterfest,JD&SC,"House of Independents<br />\r\nAsbury Park, NJ<br />\r\nwith Bobby Bandiera Tribute to Tom Petty, Dramarama, Joe D'Urso & Stone Caravan, The King Sings The Boss<br />\r\nMORE INFO and tickets at www.lightofday.org",http://www.lightofday.org/,<blank>,NULL,0
85,NULL,"Asbury Park, NJ",2018-01-12,NULL,Light of Day NJ Winterfest,JD&SC,"Silverball Museum<br />\r\nAsbury Park, NJ<br />\r\nwith Tim O'Donohue & TMU Band, Joe D'Urso & Stone Caravan with Guests, Billy's Fault, Moroccan Sheepherder<br />\r\nMORE INFO and tickets at www.lightofday.org",http://www.lightofday.org/,<blank>,NULL,0
86,NULL,"Asbury Park, NJ",2018-01-13,NULL,Light of Day NJ Winterfest,JD&SC,"Paramount Theater<br />\r\nAsbury Park, NJ<br />\r\nwith LaBamba's Big Band and Friends, Willie Nile Band, Joe Grushecky & The Houserockers, James Maddock & Band,\r\nGarland Jeffreys, Remember Jones, Joe D'Urso & Stone Caravan, Isabella Rose, Luke Elliot, Greg Kihn, Ben Arnold,\r\nRob Dye and Jeffrey Gaines<br />\r\nMORE INFO and tickets at www.lightofday.org",http://www.lightofday.org/,<blank>,NULL,0
87,NULL,"Asbury Park, NJ",2018-01-14,NULL,Light of Day NJ Winterfest,Joe Solo,"Songwriters By The Sea Boardwalk Crawl<br />\r\nMcLoone's<br />\r\nAsbury Park, NJ<br />\r\nwith James Maddock, Joe Grushecky, Joe D'Urso, John Easdale, Peter Elkas, Emily Grove, Joe Rapolla, Williams Honor, Ben Arnold, Mary McCrink, Miss Emily, Vini Lopez, Rob Dye<br />\r\nMORE INFO and tickets at www.lightofday.org",http://www.lightofday.org/,<blank>,NULL,0
88,NULL,"Piermont, New York",2018-01-27,NULL,The Turning Point,JD&SC,"468 Piermont Road<br />\r\nPiermont, New York<br />\r\n** 2 shows - CD Release show!<br />\r\nTickets to go on soon - More information to follow...<br />\r\nShowtime: 7:30pm and 9:30pm",NULL,<blank>,NULL,0
89,20:00:00,"Boca Raton, FL",2018-03-01,NULL,Light of Day Florida East Coast,Joe Solo,"Hijinks Sports Grill<br />\r\n133 SE Mizner Blvd<br />\r\nBoca Raton, FL<br />\r\nTel: 561-465-3077<br />\r\nShowtime: 8pm<br />\r\nCome on out and fight Parkinson's disease with us.",NULL,http://www.hijinkssportsgrill.com/,NULL,1
90,20:00:00,"West Long Branch, NJ",2018-03-24,NULL,Songwriters By The Sea Series,Joe Solo,"Lauren K. Woods Theater<br />\r\nMonmouth University<br />\r\nWest Long Branch, NJ<br />\r\n8pm<br />\r\nwith Willie Nile, Joe D'Urso & Joe Rapolla<br />\r\nOpening the show will be three songwriters from Monmouth University",https://www.monmouth.edu/MCA/event/music-theatre/Songwriters18/,<blank>,NULL,0
91,18:00:00,"Kingston, Ontario, Canada",2018-04-12,NULL,Light of Day Kingston,JD&SC,"Stages Nightclub<br />\r\n393 Princess Street<br />\r\nKingston, Ontario, Canada<br />\r\nDoors Open at: 6pm<br />\r\nShow Time: 7pm<br />\r\nContact Information: Gord Hunter gord@lightofdaycanada.com<br />\r\nwith Southside Johnny & The Asbury Jukes",NULL,https://www.lightofdaycanada.com/,NULL,0
92,19:00:00,"London, Ontario, Canada",2018-04-13,NULL,Light of Day London,JD&SC,"Norma Jean's<br />\r\n1332 Huron Street<br />\r\nLondon, Ontario, Canada<br />\r\nShow Time: 7pm<br />\r\nContact Information: Greg Campbell greg@lightofdaycanada.com<br />\r\nwith Southside Johnny & The Asbury Jukes",NULL,https://www.lightofdaycanada.com,NULL,0
